rank,Country
2,France
3,Belgium
4,England
5,Brazil
6,Portugal
7,Netherlands
8,Spain
9,Italy
10,Croatia
16,Germany
19,Switzerland
21,Denmark
22,Ukraine
25,Austria
26,Hungary
27,Sweden
28,Poland
29,Wales
33,Serbia
35,Russia
36,Czechia
39,Scotland
40,Turkey
46,Romania
47,Norway
48,Slovakia
50,Greece
57,Slovenia
60,Republic of Ireland
61,Finland
66,Albania
69,North Macedonia
70,Montenegro
72,Iceland
73,Northern Ireland
74,Bosnia and Herzegovina
75,Georgia
78,Israel
83,Bulgaria
87,Luxembourg
95,Armenia
96,Belarus
102,Kosovo
103,Kazakhstan
112,Azerbaijan
123,Estonia
124,Cyprus
133,Faroe Islands
136,Latvia
137,Lithuania
153,Moldova
164,Andorra
171,Malta
202,Liechtenstein
203,Gibraltar
210,San Marino
